section,category,level,question,answer
"الأنبياء","الرسل","متوسط","من أول الرسل إلى أهل الأرض بعد آدم؟","نوح عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي اتخذه الله خليلاً؟","إبراهيم عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي كلمه الله تكليماً؟","موسى عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي أرسل إلى قوم عاد؟","هود عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي أرسل إلى قوم ثمود؟","صالح عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي ابتلعه الحوت؟","يونس عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي رفعه الله إليه؟","عيسى عليه السلام"
"الأنبياء","الرسل","متوسط","من والد إسماعيل عليه السلام؟","إبراهيم عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي سخر الله له الريح؟","سليمان عليه السلام"
"الأنبياء","الرسل","متوسط","من النبي الذي اشتهر بالصبر على البلاء؟","أيوب عليه السلام"
"الصحابة","الخلفاء","متوسط","من أول الخلفاء الراشدين؟","أبو بكر الصديق"
"الصحابة","الخلفاء","متوسط","من ثاني الخلفاء الراشدين؟","عمر بن الخطاب"
"الصحابة","الخلفاء","متوسط","من ثالث الخلفاء الراشدين؟","عثمان بن عفان"
"الصحابة","الخلفاء","متوسط","من رابع الخلفاء الراشدين؟","علي بن أبي طالب"
"الصحابة","الألقاب","متوسط","من الصحابي الملقب بذي النورين؟","عثمان بن عفان"
"الصحابة","الألقاب","متوسط","من الصحابي الملقب بالفاروق؟","عمر بن الخطاب"
"الصحابة","الحديث","متوسط","من أكثر الصحابة رواية للحديث؟","أبو هريرة"
"الصحابة","السيرة","متوسط","من أول الرجال إسلاماً؟","أبو بكر الصديق"
"الصحابة","السيرة","متوسط","من أول الصبيان إسلاماً؟","علي بن أبي طالب"
"الصحابة","أمهات المؤمنين","متوسط","من أم المؤمنين ابنة أبي بكر؟","عائشة رضي الله عنها"
"السيرة","الدعوة","متوسط","في أي غار نزل الوحي أول مرة؟","غار حراء"
"السيرة","الدعوة","متوسط","من أول من آمن من النساء؟","خديجة بنت خويلد"
"السيرة","الهجرة","متوسط","إلى أي مدينة هاجر النبي صلى الله عليه وسلم؟","المدينة المنورة"
"السيرة","الهجرة","متوسط","من صاحب النبي صلى الله عليه وسلم في الهجرة؟","أبو بكر الصديق"
"السيرة","المساجد","متوسط","ما أول مسجد أسسه النبي صلى الله عليه وسلم بعد الهجرة؟","مسجد قباء"
"السيرة","الغزوات","متوسط","ما أول غزوة كبرى في الإسلام؟","غزوة بدر"
"السيرة","الغزوات","متوسط","في أي غزوة وقع حفر الخندق؟","غزوة الخندق"
"السيرة","الغزوات","متوسط","ما الغزوة التي وقعت في السنة الثالثة للهجرة؟","غزوة أحد"
"السيرة","الصلح","متوسط","ما اسم الصلح الذي عقده النبي صلى الله عليه وسلم مع قريش؟","صلح الحديبية"
"السيرة","الفتح","متوسط","ما الحدث الذي دخل فيه النبي صلى الله عليه وسلم مكة فاتحاً؟","فتح مكة"
"الأحكام","الصلاة","متوسط","ما أول ما يحاسب عليه العبد من عمله؟","الصلاة"
"الأحكام","الصلاة","متوسط","كم عدد الصلوات المفروضة في اليوم والليلة؟","خمس صلوات"
"الأحكام","الصلاة","متوسط","ما القبلة التي يتجه إليها المسلمون في الصلاة؟","الكعبة"
"الأحكام","الطهارة","متوسط","بماذا يتطهر المسلم عند عدم وجود الماء؟","التيمم"
"الأحكام","الطهارة","متوسط","ما الطهارة المطلوبة قبل الصلاة؟","الوضوء"
"الأحكام","الصيام","متوسط","في أي شهر يصوم المسلمون؟","رمضان"
"الأحكام","الصيام","متوسط","ما الوجبة التي تكون قبل الفجر للصائم؟","السحور"
"الأحكام","الزكاة","متوسط","ما العبادة المالية الواجبة على المال بشروطها؟","الزكاة"
"الأحكام","الحج","متوسط","ما الركن الأعظم في الحج؟","الوقوف بعرفة"
"الأحكام","الحج","متوسط","ما البيت الذي يقصده المسلمون في الحج؟","الكعبة"
"الصالحون","العلماء","متوسط","من مؤسس المذهب الحنفي؟","أبو حنيفة النعمان"
"الصالحون","العلماء","متوسط","من مؤسس المذهب المالكي؟","مالك بن أنس"
"الصالحون","العلماء","متوسط","من مؤسس المذهب الشافعي؟","محمد بن إدريس الشافعي"
"الصالحون","العلماء","متوسط","من مؤسس المذهب الحنبلي؟","أحمد بن حنبل"
"الصالحون","الحديث","متوسط","من صاحب صحيح البخاري؟","محمد بن إسماعيل البخاري"
"الصالحون","الحديث","متوسط","من صاحب صحيح مسلم؟","مسلم بن الحجاج"
"الصالحون","الفقه","متوسط","من الإمام المعروف بإمام دار الهجرة؟","مالك بن أنس"
"الصالحون","التفسير","متوسط","من الصحابي المشهور بتفسير القرآن؟","عبد الله بن عباس"
"الصالحون","الزهد","متوسط","من التابعي المشهور من أهل البصرة بالزهد والموعظة؟","الحسن البصري"
"الصالحون","العلماء","متوسط","من الإمام صاحب كتاب الموطأ؟","مالك بن أنس"
"الألغاز الشرعية","عام","متوسط","شيء يزداد بالإنفاق منه في الخير، فما هو؟","الأجر"
"الألغاز الشرعية","عام","متوسط","عبادة لا تصح إلا بدخول الوقت والطهارة واستقبال القبلة، فما هي؟","الصلاة"
"الألغاز الشرعية","عام","متوسط","شهر فيه ليلة خير من ألف شهر، فما هو؟","رمضان"
"الألغاز الشرعية","عام","متوسط","كتاب لا يأتيه الباطل من بين يديه ولا من خلفه، فما هو؟","القرآن الكريم"
"الألغاز الشرعية","عام","متوسط","بيت يطوف حوله المسلمون في الحج والعمرة، فما هو؟","الكعبة"
